"Firmenname ","Branche","Branche","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"BMW Austria Bank GmbH","Finanzinstitut","Siegfried-Marcus-Str. 24","5020","Salzburg",,,,,,,
"MUFG Bank (Europe) N.V. Vienna Branch","Finanzinstitut","Schwarzenbergplatz 5/3.2","1030","Wien",,,,,,,
"Mercedes-Benz Bank GmbH","Finanzinstitut","Himmelreich 1","5020","Salzburg",,,,,,,
"RCI Banque SA, Niederlassung Österreich","Finanzinstitut","Laaer Berg-Straße 64","1100","Wien",,,,,,,
"UBS Europe SE Niederlassung Österreich","Finanzinstitut","Wächtergasse 1","1010","Wien",,,,,,,
"Wiener Privatbank SE","Finanzinstitut","Parkring 12","1010","Wien",,,,,,,
"Liechtensteinische Landesbank (Österreich) AG","Finanzinstitut","Wipplingerstraße 35","1010","Wien",,,,,,,
"LGT Bank AG, Zweigniederlassung Österreich","Finanzinstitut","Bankgasse 9","1010","Wien",,,,,,,
"Credit Suisse (Luxembourg) S.A. Zweigniederlassung Österreich","Finanzinstitut","Kärntner Ring 11-13","1010","Wien",,,,,,,
"biw Bank für Investments und Wertpapiere AG Zweigniederlassung Österreich","Finanzinstitut","Opernring 1/736","1010","Wien",,,,,,,
"Zürcher Kantonalbank Österreich AG","Finanzinstitut","Getreidegasse 10","5020","Salzburg",,,,,,,
"Bankhaus Krentschker & Co. Aktiengesellschaft","Finanzinstitut","Am Eisernen Tor 3","8010","Graz",,,,,,,
"Bankhaus Carl Spängler & Co. Aktiengesellschaft","Finanzinstitut","Schwarzstraße 1","5020","Salzburg",,,,,,,
"CAPITAL BANK - GRAWE GRUPPE AG","Finanzinstitut","Burgring 16","8010","Graz",,,,,,,
"Commerzialbank Mattersburg im Burgenland Aktiengesellschaft","Finanzinstitut","Judengasse 11","7210","Mattersburg",,,,,,,
"DenizBank AG","Finanzinstitut","Thomas-Klestil-Platz 1","1030","Wien",,,,,,,
"Kommunalkredit Austria AG","Finanzinstitut","Türkenstraße 9","1090","Wien",,,,,,,
"Commerzbank AG Niederlassung Wien","Finanzinstitut","Hietzinger Kai 101-105","1130","Wien",,,,,,,
"Steyler Bank GmbH","Finanzinstitut","Gabrielerstraße 171","2340","Mödling",,,,,,,
"VakifBank International AG","Finanzinstitut","Prinz-Eugen-Straße 8-10, Top 17 + Top 18","1040","Wien",,,,,,,
"s Wohnbaubank AG","Finanzinstitut","Am Belvedere 1","1100","Wien",,,,,,,
"Raiffeisen Wohnbaubank Aktiengesellschaft","Finanzinstitut","Mooslackengasse 12","1190","Wien",,,,,,,
"BAWAG P.S.K. Wohnbaubank Aktiengesellschaft","Finanzinstitut","Georg Coch-Platz 2","1018","Wien",,,,,,,
"Santander Consumer Bank GmbH","Finanzinstitut","Wagramer Straße 19","1220","Wien",,,,,,,
"FCA Bank GmbH","Finanzinstitut","Schönbrunner Straße 297-307","1120","Wien",,,,,,,
"Western Union International Bank GmbH","Finanzinstitut","Schubertring 11","1010","Wien",,,,,,,
"Macquarie Bank International Limited, Vienna Branch","Finanzinstitut","Kärntner Straße 28","1010","Wien",,,,,,,
"Raiffeisen Centrobank AG","Finanzinstitut","Tegetthoffstr. 1","1010","Wien",,,,,,,
"VTB Bank (Austria) AG","Finanzinstitut","Parkring 6","1010","Wien",,,,,,,
"Bausparkasse Wüstenrot Aktiengesellschaft","Finanzinstitut","Alpenstraße 70","5020","Salzburg",,,,,,,
"Ford Bank Austria, Zweigniederlassung der FCE BANK PLC","Finanzinstitut","Fürbergstraße 51","5020","Salzburg",,,,,,,
"Banco do Brasil Aktiengesellschaft","Finanzinstitut","Galaxy Tower, Praterstraße 31/4. OG","1020","Wien",,,,,,,
"Deutsche Bank Österreich AG","Finanzinstitut","Stock im Eisen-Platz 3","1010","Wien",,,,,,,
"Erste Group Bank AG","Finanzinstitut","Am Belvedere 1","1100","Wien",,,,,,,
"Erste Bank der oesterreichischen Sparkassen AG","Finanzinstitut","Am Belvedere 1","1100","Wien",,,,,,,
"Die Zweite Wiener Vereins-Sparcasse","Finanzinstitut","Glockengasse 3","1020","Wien",,,,,,,
"Sparkasse der Stadt Amstetten AG","Finanzinstitut","Hauptplatz 31","3300","Amstetten (NÖ)",,,,,,,
