"PLZ","Ort","Bundesland"
"5584","Zederhaus","Salzburg"
"5585","Unternberg","Salzburg"
"5591","Ramingstein","Salzburg"
"5592","Thomatal","Salzburg"
"5600","St. Johann im Pongau","Salzburg"
"5602","Wagrain","Salzburg"
"5603","Kleinarl","Salzburg"
"5611","Großarl","Salzburg"
"5612","Hüttschlag","Salzburg"
"5620","Schwarzach im Pongau","Salzburg"
"5621","St. Veit im Pongau","Salzburg"
"5622","Goldegg","Salzburg"
"5623","Schwarzach im Pongau","Salzburg"
"5630","Bad Hofgastein","Salzburg"
"5632","Dorfgastein","Salzburg"
"5640","Bad Gastein","Salzburg"
"5645","Böckstein","Salzburg"
"5651","Lend","Salzburg"
"5652","Dienten am Hochkönig","Salzburg"
"5660","Taxenbach","Salzburg"
"5661","Rauris","Salzburg"
"5662","Gries","Salzburg"
"5671","Bruck an der Großglocknerstraße","Salzburg"
"5672","Fusch an der Glocknerstraße","Salzburg"
"5700","Zell am See","Salzburg"
"5702","Zell am See-Schüttdorf","Salzburg"
"5710","Kaprun","Salzburg"
"5721","Piesendorf","Salzburg"
"5722","Niedernsill","Salzburg"
"5723","Uttendorf","Salzburg"
"5724","Stuhlfelden","Salzburg"
"5730","Mittersill","Salzburg"
"5731","Hollersbach im Pinzgau","Salzburg"
"5732","Mühlbach","Salzburg"
"5733","Bramberg am Wildkogel","Salzburg"
"5741","Neukirchen am Großvenediger","Salzburg"
"5742","Wald im Pinzgau","Salzburg"
"5743","Krimml","Salzburg"
"5751","Maishofen","Salzburg"
"5752","Viehhofen","Salzburg"
"5753","Saalbach","Salzburg"
"5754","Hinterglemm","Salzburg"
"5760","Saalfelden am Steinernen Meer","Salzburg"
"5761","Maria Alm am Steinernen Meer","Salzburg"
"5771","Leogang","Salzburg"
"6000","Hall in Tirol","Tirol"
"6010","Innsbruck","Tirol"
"6013","Innsbruck","Tirol"
"6018","Innsbruck","Tirol"
"6019","Innsbruck","Tirol"
"6020","Innsbruck","Tirol"
"6021","Innsbruck Postfach","Tirol"
"6022","Innsbruck","Tirol"
"6023","Innsbruck","Tirol"
"6029","Innsbruck","Tirol"
"6033","Innsbruck-Arzl","Tirol"
"6034","Innsbruck","Tirol"
"6050","Hall in Tirol","Tirol"
"6060","Hall in Tirol","Tirol"
"6063","Rum","Tirol"
"6065","Thaur","Tirol"
"6067","Absam","Tirol"
"6068","Mils","Tirol"
"6069","Gnadenwald","Tirol"
"6070","Ampass","Tirol"
"6071","Aldrans","Tirol"
"6072","Lans","Tirol"
"6073","Sistrans","Tirol"
"6074","Rinn","Tirol"
"6075","Tulfes","Tirol"
"6080","Innsbruck-Igls","Tirol"
"6082","Patsch","Tirol"
"6083","Ellbögen","Tirol"
"6091","Götzens","Tirol"
"6092","Birgitz","Tirol"
"6094","Axams","Tirol"
"6095","Grinzens","Tirol"
"6100","Seefeld in Tirol","Tirol"
"6103","Reith bei Seefeld","Tirol"
"6105","Leutasch","Tirol"
"6108","Scharnitz","Tirol"
"6111","Volders","Tirol"
"6112","Wattens","Tirol"
"6113","Wattenberg","Tirol"
"6114","Kolsass","Tirol"
"6115","Kolsassberg","Tirol"
"6116","Weer","Tirol"
"6121","Baumkirchen","Tirol"
"6122","Fritzens","Tirol"
"6123","Terfens","Tirol"
"6130","Schwaz","Tirol"
"6133","Weerberg","Tirol"
"6134","Vomp","Tirol"
"6135","Stans","Tirol"
"6136","Pill","Tirol"
"6141","Schönberg im Stubaital","Tirol"
"6142","Mieders","Tirol"
"6143","Matrei am Brenner","Tirol"
"6145","Navis","Tirol"
"6150","Steinach am Brenner","Tirol"
"6152","Trins","Tirol"
"6154","St. Jodok am Brenner","Tirol"
"6156","Gries am Brenner","Tirol"
"6157","Obernberg am Brenner","Tirol"
"6161","Natters","Tirol"
"6162","Mutters","Tirol"
"6165","Telfes im Stubai","Tirol"
"6166","Fulpmes","Tirol"
"6167","Neustift im Stubaital","Tirol"
"6170","Zirl","Tirol"
"6173","Oberperfuss","Tirol"
"6175","Kematen in Tirol","Tirol"
"6176","Völs","Tirol"
"6177","Völs","Tirol"
"6178","Unterperfuss","Tirol"
"6179","Ranggen","Tirol"
"6181","Sellrain","Tirol"
"6182","Gries im Sellrain","Tirol"
"6183","Kühtai","Tirol"
"6184","St. Sigmund","Tirol"
"6200","Jenbach","Tirol"
"6202","Buch bei Jenbach","Tirol"
"6210","Wiesing","Tirol"
"6212","Maurach","Tirol"
"6213","Pertisau","Tirol"
"6215","Achenkirch","Tirol"
"6220","Buch in Tirol","Tirol"
"6222","Gallzein","Tirol"
"6230","Brixlegg","Tirol"
"6232","Münster","Tirol"
"6233","Kramsach","Tirol"
"6234","Brandenberg","Tirol"
"6235","Reith im Alpbachtal","Tirol"
"6236","Alpbach","Tirol"
"6240","Rattenberg","Tirol"
"6241","Radfeld","Tirol"
"6250","Kundl","Tirol"
"6252","Breitenbach am Inn","Tirol"
"6260","Bruck am Ziller","Tirol"
"6261","Strass im Zillertal","Tirol"
"6262","Schlitters","Tirol"
"6263","Fügen","Tirol"
"6264","Fügenberg","Tirol"
"6265","Hart im Zillertal","Tirol"
"6271","Uderns","Tirol"
"6272","Kaltenbach","Tirol"
"6273","Ried im Zillertal","Tirol"
"6274","Aschau","Tirol"
"6275","Stumm","Tirol"
"6276","Stummerberg","Tirol"
"6277","Zellberg","Tirol"
"6278","Hainzenberg","Tirol"
"6280","Zell am Ziller","Tirol"
"6281","Gerlos","Tirol"
"6283","Hippach","Tirol"
"6284","Ramsau im Zillertal","Tirol"
"6290","Mayrhofen","Tirol"
"6292","Finkenberg","Tirol"
"6293","Tux","Tirol"
"6294","Hintertux","Tirol"
"6295","Ginzling","Tirol"
"6300","Wörgl","Tirol"
"6305","Itter","Tirol"
"6306","Söll","Tirol"
"6311","Wildschönau-Oberau","Tirol"
"6313","Wildschönau-Auffach","Tirol"
"6314","Wildschönau-Niederau","Tirol"
"6320","Angerberg","Tirol"
"6321","Angath","Tirol"
"6322","Kirchbichl","Tirol"
"6323","Bad Häring","Tirol"
"6324","Mariastein","Tirol"
"6330","Kufstein","Tirol"
"6331","Kufstein","Tirol"
"6332","Kufstein","Tirol"
"6333","Kufstein","Tirol"
"6334","Schwoich","Tirol"
"6335","Thiersee","Tirol"
"6336","Langkampfen","Tirol"
"6341","Ebbs","Tirol"
"6342","Niederndorf","Tirol"
"6343","Erl","Tirol"
"6344","Walchsee","Tirol"
"6345","Kössen","Tirol"
"6346","Niederndorferberg","Tirol"
"6347","Rettenschöss","Tirol"
"6351","Scheffau am Wilden Kaiser","Tirol"
"6352","Ellmau","Tirol"
"6353","Going am Wilden Kaiser","Tirol"
"6361","Hopfgarten","Tirol"
"6362","Kelchsau","Tirol"
"6363","Westendorf","Tirol"
"6364","Brixen im Thale","Tirol"
"6365","Kirchberg in Tirol","Tirol"
"6370","Kitzbühel","Tirol"
"6371","Aurach","Tirol"
"6372","Oberndorf in Tirol","Tirol"
"6373","Jochberg","Tirol"
"6380","St. Johann in Tirol","Tirol"
"6382","Kirchdorf in Tirol","Tirol"
"6383","Erpfendorf","Tirol"
"6384","Waidring","Tirol"
"6385","Schwendt","Tirol"
"6391","Fieberbrunn","Tirol"
"6392","St. Jakob in Haus","Tirol"
"6393","St. Ulrich am Pillersee","Tirol"
"6395","Hochfilzen","Tirol"
"6401","Inzing","Tirol"
"6402","Hatting","Tirol"
"6403","Flaurling","Tirol"
"6404","Polling","Tirol"
"6405","Pfaffenhofen","Tirol"
"6406","Oberhofen im Inntal","Tirol"
"6408","Pettnau","Tirol"
"6410","Telfs","Tirol"
"6412","Telfs-St. Georgen","Tirol"
"6413","Wildermieming","Tirol"
"6414","Mieming","Tirol"
"6416","Obsteig","Tirol"
"6421","Rietz","Tirol"
"6422","Stams","Tirol"
"6423","Mötz","Tirol"
"6424","Silz","Tirol"
"6425","Haiming","Tirol"
"6426","Roppen","Tirol"
"6430","Ötztal Bahnhof","Tirol"
"6432","Sautens","Tirol"
"6433","Oetz","Tirol"
"6441","Umhausen","Tirol"
"6444","Längenfeld","Tirol"
"6450","Sölden","Tirol"
"6452","Hochsölden","Tirol"
"6456","Obergurgl","Tirol"
"6458","Vent","Tirol"
"6460","Imst","Tirol"
"6462","Karres","Tirol"
"6463","Karrösten","Tirol"
"6464","Tarrenz","Tirol"
"6465","Nassereith","Tirol"
"6471","Arzl im Pitztal","Tirol"
"6473","Wenns","Tirol"
"6474","Jerzens","Tirol"
"6481","St. Leonhard im Pitztal","Tirol"
"6491","Schönwies","Tirol"
"6492","Imsterberg","Tirol"
"6493","Mils","Tirol"
"6500","Landeck","Tirol"
"6511","Zams","Tirol"
"6521","Fließ","Tirol"
"6522","Prutz","Tirol"
"6524","Feichten im Kaunertal","Tirol"
"6525","Faggen","Tirol"
"6526","Kauns","Tirol"
"6527","Kaunerberg","Tirol"
"6528","Fendels","Tirol"
"6531","Ried im Oberinntal","Tirol"
"6532","Ladis","Tirol"
"6533","Fiss","Tirol"
"6534","Serfaus","Tirol"
"6541","Tösens","Tirol"
"6542","Pfunds","Tirol"
"6543","Nauders","Tirol"
"6544","Spiss","Tirol"
"6551","Pians","Tirol"
"6552","Tobadill","Tirol"
"6553","See","Tirol"
"6555","Kappl","Tirol"
"6561","Ischgl","Tirol"
"6562","Mathon","Tirol"
"6563","Galtür","Tirol"
"6571","Strengen","Tirol"
"6572","Flirsch","Tirol"
"6574","Pettneu am Arlberg","Tirol"
"6580","St. Anton am Arlberg","Tirol"
"6591","Grins","Tirol"
"6600","Reutte","Tirol"
"6604","Höfen","Tirol"
"6610","Wängle","Tirol"
"6611","Heiterwang","Tirol"
"6621","Bichlbach","Tirol"
"6622","Berwang","Tirol"
"6623","Namlos","Tirol"
"6631","Lermoos","Tirol"
"6632","Ehrwald","Tirol"
"6633","Biberwier","Tirol"
"6642","Stanzach","Tirol"
"6644","Elmen","Tirol"
"6645","Vorderhornbach","Tirol"
"6646","Hinterhornbach","Tirol"
"6647","Pfafflar","Tirol"
"6650","Gramais","Tirol"
"6651","Häselgehr","Tirol"
"6652","Elbigenalp","Tirol"
"6653","Bach","Tirol"
"6654","Holzgau","Tirol"
"6655","Steeg","Tirol"
"6670","Forchach","Tirol"
"6671","Weißenbach am Lech","Tirol"
"6672","Nesselwängle","Tirol"
"6673","Grän","Tirol"
"6675","Tannheim","Tirol"
"6677","Schattwald","Tirol"
"6682","Vils","Tirol"
"6691","Jungholz","Tirol"
"6700","Bludenz","Vorarlberg"
"6701","Bludenz Postfach","Vorarlberg"
"6706","Bürs","Vorarlberg"
"6707","Bürserberg","Vorarlberg"
"6708","Brand","Vorarlberg"
"6710","Nenzing","Vorarlberg"
"6712","Thüringen","Vorarlberg"
"6713","Ludesch","Vorarlberg"
"6714","Nüziders","Vorarlberg"
"6719","Bludesch","Vorarlberg"
"6721","Thüringerberg","Vorarlberg"
"6722","St. Gerold","Vorarlberg"
"6723","Blons","Vorarlberg"
"6731","Sonntag","Vorarlberg"
"6733","Fontanella","Vorarlberg"
"6741","Raggal","Vorarlberg"
"6751","Braz","Vorarlberg"
"6752","Dalaas","Vorarlberg"
"6754","Klösterle","Vorarlberg"
"6762","Stuben","Vorarlberg"
"6763","Zürs","Vorarlberg"
"6764","Lech","Vorarlberg"
"6767","Warth","Vorarlberg"
"6771","St. Anton im Montafon","Vorarlberg"
"6773","Vandans","Vorarlberg"
"6774","Tschagguns","Vorarlberg"
"6780","Schruns","Vorarlberg"
"6781","Bartholomäberg","Vorarlberg"
"6782","Silbertal","Vorarlberg"
"6787","Gargellen","Vorarlberg"
"6791","St. Gallenkirch","Vorarlberg"
"6793","Gaschurn","Vorarlberg"
"6794","Partenen","Vorarlberg"
"6800","Feldkirch","Vorarlberg"
"6801","Feldkirch Postfach","Vorarlberg"
"6805","Feldkirch-Gisingen","Vorarlberg"
"6807","Feldkirch-Tisis","Vorarlberg"
"6808","Feldkirch-Nofels","Vorarlberg"
"6811","Göfis","Vorarlberg"
"6812","Meiningen","Vorarlberg"
"6820","Frastanz","Vorarlberg"
"6822","Satteins","Vorarlberg"
"6824","Schlins","Vorarlberg"
"6830","Rankweil","Vorarlberg"
"6832","Sulz-Röthis","Vorarlberg"
"6833","Klaus-Weiler","Vorarlberg"
"6834","Übersaxen","Vorarlberg"
"6835","Zwischenwasser","Vorarlberg"
"6836","Viktorsberg","Vorarlberg"
"6837","Weiler","Vorarlberg"
"6840","Götzis","Vorarlberg"
"6841","Mäder","Vorarlberg"
"6842","Koblach","Vorarlberg"
"6844","Altach","Vorarlberg"
"6845","Hohenems","Vorarlberg"
"6850","Dornbirn","Vorarlberg"
"6851","Dornbirn Postfach","Vorarlberg"
"6854","Dornbirn-Messepark","Vorarlberg"
"6855","Dornbirn","Vorarlberg"
"6857","Dornbirn-Haselstauden","Vorarlberg"
"6858","Schwarzach","Vorarlberg"
"6861","Alberschwende","Vorarlberg"
"6863","Egg","Vorarlberg"
"6866","Andelsbuch","Vorarlberg"
"6867","Schwarzenberg","Vorarlberg"
"6870","Bezau","Vorarlberg"
"6874","Bizau","Vorarlberg"
"6881","Mellau","Vorarlberg"
"6882","Schnepfau","Vorarlberg"
"6883","Au","Vorarlberg"
"6884","Damüls","Vorarlberg"
"6886","Schoppernau","Vorarlberg"
"6888","Schröcken","Vorarlberg"
"6890","Lustenau","Vorarlberg"
"6893","Lustenau-Rheindorf","Vorarlberg"
"6900","Bregenz","Vorarlberg"
"6901","Bregenz Postfach","Vorarlberg"
"6904","Bregenz-Schendlingen","Vorarlberg"
"6905","Bregenz-Achsiedlung","Vorarlberg"
"6911","Lochau","Vorarlberg"
"6912","Hörbranz","Vorarlberg"
"6914","Hohenweiler","Vorarlberg"
"6921","Kennelbach","Vorarlberg"
"6922","Wolfurt","Vorarlberg"
"6923","Lauterach","Vorarlberg"
"6932","Langen bei Bregenz","Vorarlberg"
"6933","Doren","Vorarlberg"
"6934","Sulzberg","Vorarlberg"
"6941","Langenegg","Vorarlberg"
"6942","Krumbach","Vorarlberg"
"6943","Riefensberg","Vorarlberg"
"6951","Lingenau","Vorarlberg"
"6952","Hittisau","Vorarlberg"
"6953","Sibratsgfäll","Vorarlberg"
"6960","Wolfurt-Bahnhof","Vorarlberg"
"6961","Wolfurt-Bahnhof Postfach","Vorarlberg"
"6971","Hard","Vorarlberg"
"6972","Fußach","Vorarlberg"
"6973","Höchst","Vorarlberg"
"6974","Gaißau","Vorarlberg"
"6991","Riezlern","Vorarlberg"
"6992","Hirschegg","Vorarlberg"
"6993","Mittelberg","Vorarlberg"
"7000","Eisenstadt","Burgenland"
"7001","Eisenstadt Postfach","Burgenland"
"7002","Eisenstadt","Burgenland"
"7011","Siegendorf","Burgenland"
"7012","Zagersdorf","Burgenland"
"7013","Klingenbach","Burgenland"
"7020","Loipersbach im Burgenland","Burgenland"
"7021","Draßburg","Burgenland"
"7022","Schattendorf","Burgenland"
"7023","Zemendorf","Burgenland"
"7024","Hirm","Burgenland"
"7031","Krensdorf","Burgenland"
"7032","Sigleß","Burgenland"
"7033","Pöttsching","Burgenland"
"7034","Zillingtal","Burgenland"
"7035","Steinbrunn","Burgenland"
"7041","Wulkaprodersdorf","Burgenland"
"7042","Antau","Burgenland"
"7051","Großhöflein","Burgenland"
"7052","Müllendorf","Burgenland"
"7053","Hornstein","Burgenland"
"7061","Trausdorf an der Wulka","Burgenland"
"7062","St. Margarethen im Burgenland","Burgenland"
"7063","Oggau","Burgenland"
"7064","Oslip","Burgenland"
"7071","Rust","Burgenland"
"7072","Mörbisch am See","Burgenland"
"7073","Rust"," Burgenland","Burgenland"
"7081","Schützen am Gebirge","Burgenland"
"7082","Donnerskirchen","Burgenland"
"7083","Purbach am Neusiedler See","Burgenland"
"7091","Breitenbrunn am Neusiedler See","Burgenland"
"7092","Winden am See","Burgenland"
"7093","Jois","Burgenland"
"7100","Neusiedl am See","Burgenland"
"7111","Parndorf","Burgenland"
"7121","Weiden am See","Burgenland"
"7122","Gols","Burgenland"
"7123","Mönchhof","Burgenland"
"7131","Halbturn","Burgenland"
"7132","Frauenkirchen","Burgenland"
"7141","Podersdorf am See","Burgenland"
"7142","Illmitz","Burgenland"
"7143","Apetlon","Burgenland"
"7151","Wallern im Burgenland","Burgenland"
"7152","Pamhagen","Burgenland"
"7161","St. Andrä am Zicksee","Burgenland"
"7162","Tadten","Burgenland"
"7163","Andau","Burgenland"
"7201","Neudörfl","Burgenland"
"7202","Bad Sauerbrunn","Burgenland"
"7203","Wiesen","Burgenland"
"7210","Mattersburg","Burgenland"
"7212","Forchtenstein","Burgenland"
"7221","Marz","Burgenland"
"7222","Rohrbach bei Mattersburg","Burgenland"
"7223","Sieggraben","Burgenland"
"7301","Deutschkreutz","Burgenland"
"7302","Nikitsch","Burgenland"
"7304","Großwarasdorf","Burgenland"
"7311","Neckenmarkt","Burgenland"
"7312","Horitschon","Burgenland"
"7321","Lackendorf","Burgenland"
"7322","Lackenbach","Burgenland"
"7323","Ritzing","Burgenland"
"7331","Weppersdorf","Burgenland"
"7332","Kobersdorf","Burgenland"
"7341","Markt St. Martin","Burgenland"
"7342","Kaisersdorf","Burgenland"
"7343","Neutal","Burgenland"
"7344","Stoob","Burgenland"
"7350","Oberpullendorf","Burgenland"
"7361","Lutzmannsburg","Burgenland"
"7371","Unterrabnitz","Burgenland"
"7372","Draßmarkt","Burgenland"
"7373","Piringsdorf","Burgenland"
"7374","Weingraben","Burgenland"
"7400","Oberwart","Burgenland"
"7410","Loipersdorf-Kitzladen","Burgenland"
"7411","Markt Allhau","Burgenland"
"7412","Wolfau","Burgenland"
"7413","Buchschachen","Burgenland"
"7421","Tauchen-Schaueregg","Steiermark"
"7422","Riedlingsdorf","Burgenland"
"7423","Pinkafeld","Burgenland"
"7424","Grafenschachen","Burgenland"
"7425","Wiesfleck","Burgenland"
"7431","Bad Tatzmannsdorf","Burgenland"
"7432","Oberschützen","Burgenland"
"7433","Mariasdorf","Burgenland"
"7434","Bernstein","Burgenland"
"7435","Unterkohlstätten","Burgenland"
"7441","Pilgersdorf","Burgenland"
"7442","Lockenhaus","Burgenland"
"7443","Rattersdorf-Liebing","Burgenland"
"7444","Mannersdorf an der Rabnitz","Burgenland"
"7451","Oberloisdorf","Burgenland"
"7452","Unterpullendorf","Burgenland"
"7453","Steinberg-Dörfl","Burgenland"
"7461","Stadtschlaining","Burgenland"
"7463","Weiden bei Rechnitz","Burgenland"
"7464","Markt Neuhodis","Burgenland"
"7471","Rechnitz","Burgenland"
"7472","Schachendorf","Burgenland"
"7473","Hannersdorf","Burgenland"
"7474","Deutsch Schützen","Burgenland"
"7501","Rotenturm an der Pinka","Burgenland"
"7502","Unterwart","Burgenland"
"7503","Großpetersdorf","Burgenland"
"7504","Jabing","Burgenland"
"7511","Mischendorf","Burgenland"
"7512","Kohfidisch","Burgenland"
"7521","Eberau","Burgenland"
"7522","Strem","Burgenland"
"7531","Kemeten","Burgenland"
"7532","Litzelsdorf","Burgenland"
"7533","Ollersdorf im Burgenland","Burgenland"
"7534","Olbendorf","Burgenland"
"7535","St. Michael im Burgenland","Burgenland"
"7536","Güttenbach","Burgenland"
"7537","Neuberg im Burgenland","Burgenland"
"7540","Güssing","Burgenland"
"7542","Gerersdorf bei Güssing","Burgenland"
"7543","Kukmirn","Burgenland"
"7544","Tobaj","Burgenland"
"7551","Stegersbach","Burgenland"
"7552","Stinatz","Burgenland"
"7561","Heiligenkreuz im Lafnitztal","Burgenland"
"7562","Eltendorf","Burgenland"
"7563","Königsdorf","Burgenland"
"7564","Dobersdorf","Burgenland"
"7571","Rudersdorf","Burgenland"
"7572","Deutsch Kaltenbrunn","Burgenland"
"7574","Burgauberg-Neudauberg","Burgenland"
"8000","Graz","Steiermark"
"8006","Graz","Steiermark"
"8007","Graz","Steiermark"
"8008","Graz","Steiermark"
"8010","Graz","Steiermark"
"8011","Graz Postfach","Steiermark"
"8012","Graz","Steiermark"
"8014","Hönigtal","Steiermark"
"8015","Graz","Steiermark"
"8016","Graz","Steiermark"
"8017","Graz","Steiermark"
"8019","Graz","Steiermark"
"8020","Graz","Steiermark"
"8021","Graz Postfach","Steiermark"
"8024","Graz","Steiermark"
"8025","Graz","Steiermark"
"8026","Graz","Steiermark"
"8035","Graz","Steiermark"
"8036","Graz","Steiermark"
"8040","Graz-Liebenau","Steiermark"
"8041","Graz-Liebenau","Steiermark"
"8042","Graz-St. Peter","Steiermark"
"8043","Graz-Kroisbach","Steiermark"
"8044","Graz-Mariatrost","Steiermark"
"8045","Graz-Andritz","Steiermark"
"8046","Graz-St. Veit","Steiermark"
"8047","Graz-Ragnitz","Steiermark"
"8049","Graz","Steiermark"
"8051","Graz-Gösting","Steiermark"
"8052","Graz-Wetzelsdorf","Steiermark"
"8053","Graz-Neuhart","Steiermark"
"8054","Graz-Straßgang","Steiermark"
"8055","Graz-Puntigam","Steiermark"
"8056","Graz","Steiermark"
"8057","Graz-Straßgang","Steiermark"
"8061","St. Radegund bei Graz","Steiermark"
"8062","Kumberg","Steiermark"
"8063","Eggersdorf bei Graz","Steiermark"
"8071","Hausmannstätten","Steiermark"
"8072","Fernitz","Steiermark"
"8073","Feldkirchen bei Graz","Steiermark"
"8074","Raaba","Steiermark"
"8075","Hart bei Graz","Steiermark"
"8076","Vasoldsberg","Steiermark"
"8077","Gössendorf","Steiermark"
"8081","Heiligenkreuz am Waasen","Steiermark"
"8082","Kirchbach in Steiermark","Steiermark"
"8083","St. Stefan im Rosental","Steiermark"
"8091","Jagerberg","Steiermark"
"8092","Mettersdorf am Saßbach","Steiermark"
"8093","St. Peter am Ottersbach","Steiermark"
"8101","Gratkorn","Steiermark"
"8102","Semriach","Steiermark"
"8103","Rein","Steiermark"
"8111","Judendorf-Straßengel","Steiermark"
"8112","Gratwein","Steiermark"
"8113","St. Oswald bei Plankenwarth","Steiermark"
"8114","Stübing","Steiermark"
"8120","Peggau","Steiermark"
"8121","Deutschfeistritz","Steiermark"
"8122","Waldstein","Steiermark"
"8124","Übelbach","Steiermark"
"8130","Frohnleiten","Steiermark"
"8131","Mixnitz","Steiermark"
"8132","Pernegg an der Mur","Steiermark"
"8141","Unterpremstätten","Steiermark"
"8142","Wundschuh","Steiermark"
"8143","Dobl","Steiermark"
"8144","Tobelbad","Steiermark"
"8151","Hitzendorf","Steiermark"
"8152","Stallhofen","Steiermark"
"8153","Geistthal","Steiermark"
"8160","Weiz","Steiermark"
"8162","Passail","Steiermark"
"8163","Fladnitz an der Teichalm","Steiermark"
"8171","St. Kathrein am Offenegg","Steiermark"
"8172","Heilbrunn","Steiermark"
"8181","St. Ruprecht an der Raab","Steiermark"
"8182","Puch bei Weiz","Steiermark"
"8183","Floing","Steiermark"
"8184","Anger","Steiermark"
"8190","Birkfeld","Steiermark"
"8191","Koglhof","Steiermark"
"8192","Strallegg","Steiermark"
"8193","Dorfviertel","Steiermark"
"8194","Waisenegg","Steiermark"
"8200","Gleisdorf","Steiermark"
"8201","Gleisdorf","Steiermark"
"8211","Ilztal","Steiermark"
"8212","Pischelsdorf am Kulm","Steiermark"
"8221","Hirnsdorf","Steiermark"
"8222","St. Johann bei Herberstein","Steiermark"
"8223","Stubenberg am See","Steiermark"
"8224","Kaindorf bei Hartberg","Steiermark"
"8225","Pöllau bei Hartberg","Steiermark"
"8226","Obersaifen","Steiermark"
"8230","Hartberg","Steiermark"
"8232","Grafendorf bei Hartberg","Steiermark"
"8233","Lafnitz","Steiermark"
"8234","Rohrbach an der Lafnitz","Steiermark"
"8240","Friedberg","Steiermark"
"8241","Dechantskirchen","Steiermark"
"8242","St. Lorenzen am Wechsel","Steiermark"
"8243","Pinggau","Steiermark"
"8244","Schäffern","Steiermark"
"8250","Vorau","Steiermark"
"8251","Bruck an der Lafnitz","Steiermark"
"8252","Mönichwald","Steiermark"
"8253","Waldbach","Steiermark"
"8254","Wenigzell","Steiermark"
"8255","St. Jakob","Steiermark"
"8261","Sinabelkirchen","Steiermark"
"8262","Ilz","Steiermark"
"8263","Großwilfersdorf","Steiermark"
"8264","Hainersdorf","Steiermark"
"8265","Großsteinbach","Steiermark"
"8271","Bad Waltersdorf","Steiermark"
"8272","Sebersdorf","Steiermark"
"8273","Ebersdorf","Steiermark"
"8274","Buch","Steiermark"
"8280","Fürstenfeld","Steiermark"
"8282","Bad Loipersdorf","Steiermark"
"8283","Bad Blumau","Steiermark"
"8291","Burgau","Steiermark"
"8292","Neudau","Steiermark"
"8293","Wörth an der Lafnitz","Steiermark"
"8294","Unterrohr","Steiermark"
"8295","St. Johann in der Haide","Steiermark"
"8301","Laßnitzhöhe","Steiermark"
"8302","Nestelbach bei Graz","Steiermark"
"8311","Markt Hartmannsdorf","Steiermark"
"8312","Ottendorf an der Rittschein","Steiermark"
"8313","Breitenfeld an der Rittschein","Steiermark"
"8321","St. Margarethen an der Raab","Steiermark"
"8322","Studenzen","Steiermark"
"8323","St. Marein bei Graz","Steiermark"
"8324","Kirchberg an der Raab","Steiermark"
"8330","Feldbach","Steiermark"
"8331","Gossendorf","Steiermark"
"8332","Edelsbach bei Feldbach","Steiermark"
"8333","Riegersburg","Steiermark"
"8334","Lödersdorf","Steiermark"
"8335","Gniebing","Steiermark"
"8341","Paldau","Steiermark"
"8342","Gnas","Steiermark"
"8343","Trautmannsdorf in Oststeiermark","Steiermark"
"8344","Bad Gleichenberg","Steiermark"
"8345","Straden","Steiermark"
"8350","Fehring","Steiermark"
"8352","Unterlamm","Steiermark"
"8353","Kapfenstein","Steiermark"
"8354","St. Anna am Aigen","Steiermark"
"8355","Tieschen","Steiermark"
"8361","Hatzendorf","Steiermark"
"8362","Söchau","Steiermark"
"8363","Übersbach","Steiermark"
"8380","Jennersdorf","Burgenland"
"8382","Mogersdorf","Burgenland"
"8383","St. Martin an der Raab","Burgenland"
"8384","Minihof-Liebau","Burgenland"
"8385","Neuhaus am Klausenbach","Burgenland"
"8401","Kalsdorf bei Graz","Steiermark"
"8402","Werndorf","Steiermark"
"8403","Lebring","Steiermark"
"8404","Kalsdorf bei Graz","Steiermark"
"8410","Wildon","Steiermark"
"8411","Hengsberg","Steiermark"
"8412","Allerheiligen bei Wildon","Steiermark"
"8413","St. Georgen an der Stiefing","Steiermark"
"8421","Wolfsberg im Schwarzautal","Steiermark"
"8422","St. Nikolai ob Draßling","Steiermark"
"8423","St. Veit am Vogau","Steiermark"
"8424","Gabersdorf","Steiermark"
"8430","Leibnitz","Steiermark"
"8431","Gralla","Steiermark"
"8432","Kaindorf an der Sulm","Steiermark"
"8434","Tillmitsch","Steiermark"
"8435","Wagna","Steiermark"
"8441","Fresing","Steiermark"
"8442","Kitzeck im Sausal","Steiermark"
"8443","Gleinstätten","Steiermark"
"8444","St. Andrä im Sausal","Steiermark"
"8451","Heimschuh","Steiermark"
"8452","Großklein","Steiermark"
"8453","St. Johann im Saggautal","Steiermark"
"8454","Arnfels","Steiermark"
"8455","Oberhaag","Steiermark"
"8461","Ehrenhausen","Steiermark"
"8462","Gamlitz","Steiermark"
"8463","Leutschach","Steiermark"
"8471","Spielfeld","Steiermark"
"8472","Straß in Steiermark","Steiermark"
"8473","Weitersfeld an der Mur","Steiermark"
"8480","Mureck","Steiermark"
"8481","Weinburg am Saßbach","Steiermark"
"8482","Gosdorf","Steiermark"
"8483","Deutsch Goritz","Steiermark"
"8484","Unterpurkla","Steiermark"
"8490","Bad Radkersburg","Steiermark"
"8492","Halbenrain","Steiermark"
"8493","Klöch","Steiermark"
"8501","Lieboch","Steiermark"
"8502","Lannach","Steiermark"
"8503","St. Josef Weststeiermark","Steiermark"
"8504","Preding","Steiermark"
"8505","St. Nikolai im Sausal","Steiermark"
"8506","Mettersdorf","Steiermark"
"8510","Stainz","Steiermark"
